character,pinyin,bihua,n.male,n.female,name.gender,n.1930_1959,n.1960_1969,n.1970_1979,n.1980_1989,n.1990_1999,n.2000_2008,ppm.1930_1959,ppm.1960_1969,ppm.1970_1979,ppm.1980_1989,ppm.1990_1999,ppm.2000_2008,name.ppm,name.uniqueness,corpus.ppm,corpus.uniqueness,name.valence,name.warmth,name.competence
雪,xue3,11,1207580,7568874,-0.7248136889910207,1241495,1146084,1597205,1909782,2078315,792604,3867.586,5590.654,7642.129,9226,12370.923,8806.711,7917.334,2.101366183399971,157.5633629809702,3.799797151780408,3.75,3.3,3.1
血,xue4,6,121,332,-0.46578366445916114,194,35,38,62,105,18,0.604,0.171,0.182,0.3,0.625,0.2,0.347,5.870632404277014,332.4908516782106,3.476916075151228,1.5625,1.6,2.1
勋,xun1,9,583654,42392,0.8645722518792549,234496,100558,98893,87907,64285,39898,730.517,490.527,473.172,424.671,382.649,443.311,490.808,3.3082044110840902,15.177532107554681,4.791087729560461,4.125,3.7,3.8
埙,xun1,10,136,36,0.5813953488372093,46,3,15,23,38,44,0.143,0.015,0.072,0.111,0.226,0.489,0.176,5.929592678259881,0.4501810370884863,5.8385777781093235,2.5,2.6,3
熏,xun1,14,189,130,0.18495297805642633,75,24,22,55,62,80,0.234,0.117,0.105,0.266,0.369,0.889,0.33,5.876148359032914,9.711048085765919,4.970168030980078,2.5625,2.7,2.9
寻,xun2,6,4610,4838,-0.024132091447925486,763,460,597,2252,3426,1955,2.377,2.244,2.856,10.879,20.393,21.722,10.079,4.955499437629359,125.60050934768769,3.897564547032367,3.125,3.4,3.1
巡,xun2,6,3690,1268,0.48850342880193626,380,263,434,893,2159,829,1.184,1.283,2.077,4.314,12.851,9.211,5.153,5.210913084911971,36.014482967078905,4.431628312636307,3.125,3.3,3.2
郇,xun2,8,131,64,0.3435897435897436,11,14,18,34,76,42,0.034,0.068,0.086,0.164,0.452,0.467,0.212,5.916497380169733,0,6,2.8125,3.1,2.9
荀,xun2,9,2167,1984,0.04408576246687545,695,243,404,845,1168,788,2.165,1.185,1.933,4.082,6.952,8.756,4.179,5.285754088982106,5.273549291607982,5.202486685383042,3.125,3.4,3.4
洵,xun2,9,11398,5890,0.3186024988431282,1627,841,1378,3789,5299,4402,5.069,4.102,6.593,18.304,31.542,48.911,19.087,4.697084920431139,1.4791662647193122,5.605694346395238,3.125,3.4,3.3
浔,xun2,9,1421,891,0.2292387543252595,148,186,262,461,746,509,0.461,0.907,1.254,2.227,4.44,5.656,2.491,5.457050151185821,1.2862315345385322,5.640879789216087,3.0625,3.1,3.3
珣,xun2,10,5503,8575,-0.21821281432021594,545,634,1672,4673,4504,2051,1.698,3.093,8,22.575,26.81,22.789,14.161,4.819272152255493,0,6,3.375,3.2,3.6
循,xun2,12,3449,973,0.5599276345545002,1078,654,681,850,848,345,3.358,3.19,3.258,4.106,5.048,3.833,3.799,5.318849250067578,79.746355141389,4.092877072435971,2.625,3.4,3.3
训,xun4,5,194638,52089,0.5777600343699717,109677,47225,39601,26476,17167,6735,341.673,230.366,189.478,127.903,102.185,74.833,177.74,3.7477782464013125,181.6802042535677,3.7383085114828836,2.625,3,3.2
讯,xun4,5,7969,2370,0.5415417351774833,895,773,1351,2103,2609,2573,2.788,3.771,6.464,10.159,15.53,28.589,11.217,4.913035426122949,57.944730630960876,4.229555012624569,3.4375,2.9,3.2
汛,xun4,6,5367,1977,0.4616013071895425,543,367,536,1196,1912,2810,1.692,1.79,2.565,5.778,11.381,31.222,9.071,4.996927404032325,6.045288212331101,5.152101235845648,2.8125,3.3,2.8
迅,xun4,6,49192,13881,0.5598433561111728,4419,4931,8810,11488,13156,20246,13.766,24.054,42.153,55.498,78.31,224.956,73.123,4.130047011680725,161.229122854405,3.7898711799667706,4,3.5,3.2
逊,xun4,9,17553,3633,0.6570376663834607,3528,2448,3121,4159,4800,3130,10.991,11.941,14.933,20.092,28.571,34.778,20.218,4.673295554925675,22.701986584605095,4.625215252024725,2.9375,3.1,3
丫,ya1,3,1730,44610,-0.9253344842468709,10278,3462,5106,9317,10710,7442,32.019,16.888,24.431,45.01,63.75,82.689,44.131,4.345525043398304,14.855974223920049,4.799807068863996,2.5625,3.4,2.3
牙,ya2,4,8611,2828,0.5055511845441035,4421,2649,2148,1258,829,177,13.773,12.922,10.278,6.077,4.935,1.967,8.325,5.030351159519275,138.52713626979994,3.855341319371535,2.25,2.8,2.6
芽,ya2,7,8391,27694,-0.534931411944021,13414,8407,6726,4067,2711,765,41.788,41.01,32.182,19.647,16.137,8.5,26.544,4.5599729903033825,61.41755577421491,4.204693241991653,3,3.5,2.7
崖,ya2,11,600,337,0.28068303094983993,96,126,218,251,198,44,0.299,0.615,1.043,1.213,1.179,0.489,0.806,5.743282254022513,27.71828956930537,4.5418414297755945,2.6875,2.8,3
涯,ya2,11,5493,2911,0.30723465016658735,288,421,849,2386,3082,1371,0.897,2.054,4.062,11.527,18.345,15.233,8.686,5.01385553528948,12.090576424662203,4.883041229496738,3.25,3.4,3.3
雅,ya3,12,152841,2258483,-0.8732306400964781,289105,179973,181077,363565,750302,647811,900.639,877.917,866.397,1756.353,4466.083,7197.9,2677.548,2.5721005665962005,67.78440187018064,4.162510034871112,4.25,4.2,3.5
亚,ya4,6,2719227,5042255,-0.29930211781719007,1309846,1170334,1347504,1644827,1836479,454664,4080.517,5708.946,6447.388,7946.024,10931.423,5051.822,6694.353,2.1742265206817475,255.25264802917175,3.591331638059057,3.5,3.4,3.2
娅,ya4,9,3146,399891,-0.9843885300853271,16627,21145,57131,106871,136955,64160,51.798,103.146,273.354,516.285,815.208,712.889,412.113,3.3839311382612953,4.37318721743101,5.26976802708798,3.5625,3.5,2.9
胭,yan1,10,15,5641,-0.9946958981612447,1252,1340,998,1040,663,368,3.9,6.537,4.775,5.024,3.946,4.089,4.712,5.243211801231882,2.4438399156232116,5.462957044610175,3,3.1,2.5
烟,yan1,10,4619,38444,-0.785477091702854,16648,8472,6748,4509,4147,2410,51.863,41.327,32.287,21.783,24.685,26.778,33.121,4.466978249247838,199.23726470001867,3.698455095949783,2.5,3.3,2.8
鄢,yan1,13,126,207,-0.24324324324324326,14,15,23,70,137,74,0.044,0.073,0.11,0.338,0.815,0.822,0.367,5.864231485432177,0,6,3.0625,2.7,3
嫣,yan1,14,192,91867,-0.9958287619895936,1746,1954,5013,12994,27497,42854,5.439,9.532,23.986,62.773,163.673,476.156,123.593,3.904506356928627,2.0579704552616516,5.514566714861834,3.8125,3.8,3
延,yan2,6,1207830,555858,0.3696640222080096,478022,341168,376166,319801,163695,84188,1489.165,1664.234,1799.837,1544.932,974.375,935.422,1401.328,2.853150394408139,124.24996623642222,3.9022223825332714,3.5,3,3.5
闫,yan2,6,4284,4326,-0.004878048780487805,160,170,446,2947,3382,1500,0.498,0.829,2.134,14.237,20.131,16.667,9.083,4.99641023281086,0,6,3.25,2.8,3.1
严,yan2,7,97051,48567,0.33295334368003954,16855,15086,21524,35986,34555,21606,52.508,73.59,102.986,173.845,205.685,240.067,141.447,3.846346692771751,405.9989838770877,3.3904066750428994,3.4375,2.8,3.5
言,yan2,7,325766,193284,0.25523937963587323,164175,73955,64986,72419,69635,73816,511.449,360.756,310.938,349.85,414.494,820.178,461.278,3.3350967743230022,615.0759198163262,3.2103657658783495,3.4375,3.2,3.6
妍,yan2,7,4229,771690,-0.9890993776412229,9324,16534,59583,155050,220666,314204,29.047,80.654,285.086,749.034,1313.488,3491.156,991.411,3.003308430602141,1.2219199578116058,5.653271590087708,4,3.9,3.4
岩,yan2,8,750863,466798,0.2332874256463827,146507,150125,227969,329975,242419,120279,456.408,732.317,1090.761,1594.082,1442.97,1336.433,1108.829,2.9547439311929424,83.47642659155075,4.07326446536417,3.625,3.3,3.6
炎,yan2,8,604810,164234,0.5728878971814356,263937,119647,92872,123575,110046,59461,822.234,583.644,444.364,596.981,655.036,660.678,627.156,3.2019324875911974,79.42479725775436,4.094610025234193,3.5,3,3.5
沿,yan2,8,8317,4956,0.2532208242296391,1295,1236,1690,3457,3059,2516,4.034,6.029,8.086,16.7,18.208,27.956,13.502,4.838572099208706,158.84959451550873,3.7962884610494743,2.875,3.1,3.2
研,yan2,9,46193,50945,-0.0489200930634767,4696,4059,9952,20738,22854,34833,14.629,19.8,47.617,100.184,136.036,387.033,117.55,3.926098441685793,724.2769770986474,3.1394961083892268,3.1875,2.8,3.5
盐,yan2,10,429,399,0.036231884057971016,169,56,70,186,225,122,0.526,0.273,0.335,0.899,1.339,1.356,0.788,5.747632485540101,141.5497803759655,3.846033447464165,2,2.3,2.6
阎,yan2,11,242,188,0.12558139534883722,16,17,45,134,156,62,0.05,0.083,0.215,0.647,0.929,0.689,0.436,5.842845560093719,15.756336298097022,4.775820931973854,2.6875,2.2,3
颜,yan2,15,82840,213755,-0.44139314553515735,49223,43140,62943,63658,41560,36279,153.343,210.439,301.163,307.527,247.381,403.1,270.492,3.5662429631544854,91.00088106860116,4.036208013508799,3.4375,3.5,3.2
俨,yan3,9,2487,1074,0.396798652064027,330,172,336,757,1023,944,1.028,0.839,1.608,3.657,6.089,10.489,3.952,5.305219363987939,4.887679831246423,5.230055814720753,3.1875,3.1,3.2
衍,yan3,9,204053,66790,0.5067991419383185,92093,52082,45369,37797,26559,17159,286.894,254.059,217.077,182.594,158.089,190.656,214.895,3.665757415551616,22.57336343115124,4.6275784482191185,3.1875,3.5,3.7
剡,yan3,10,410,111,0.5738963531669866,39,58,146,131,89,58,0.121,0.283,0.699,0.633,0.53,0.644,0.485,5.828273546346769,0,6,2.8125,2.2,2.8
眼,yan3,11,4429,8627,-0.3215379901960784,9732,1909,774,376,227,32,30.318,9.312,3.703,1.816,1.351,0.356,7.809,5.055073390013784,805.0523174676674,3.0936367690508266,2.25,2.6,2.4
琰,yan3,12,43756,79947,-0.2925636403320857,5848,5227,15852,28832,34290,32217,18.218,25.498,75.847,139.285,204.107,357.967,136.82,3.8606877544213303,0.5788041905423396,5.801671729548501,3.6875,3.5,3.8
演,yan3,14,9489,5239,0.28856599674090166,1950,1489,2179,3949,3588,1578,6.075,7.263,10.426,19.077,21.357,17.533,13.622,4.834993220431632,401.5614850829298,3.395167778419284,2.8125,3.1,3.1
砚,yan4,9,34642,21538,0.233250266998932,16399,8331,8590,9778,7145,5898,51.087,40.639,41.1,47.237,42.53,65.533,48.021,4.309617833637752,10.547098583215964,4.9375271263859775,3.5,3.4,3.3
彦,yan4,9,1858312,1503650,0.10549256654298889,678620,590064,747788,756640,374472,214664,2114.081,2878.361,3577.933,3655.266,2229,2385.156,2806.633,2.5516596616745284,6.302534519238808,5.13652638143014,3.875,3.7,3.4
艳,yan4,10,1084458,13871250,-0.8549773771993944,999947,2244436,4359653,4719472,2099038,529566,3115.1,10948.468,20859.584,22799.382,12494.274,5884.067,12683.479,1.8967273662090491,32.28441151691716,4.47775911716251,3.9375,3.7,3.1
晏,yan4,10,37610,33364,0.05982472454701722,12708,8119,12265,14605,13105,10226,39.589,39.605,58.684,70.556,78.006,113.622,66.677,4.169558901037628,2.5724630690770645,5.4470322521042265,3.8125,3.8,3.9
宴,yan4,10,9486,8182,0.07380575050939552,2739,2182,3700,4240,2968,1838,8.533,10.644,17.703,20.483,17.667,20.422,15.909,4.771882075863155,23.152167621693582,4.617043885869194,2.9375,3.7,3.2
堰,yan4,12,1332,2345,-0.2754963285286919,142,204,468,779,870,1214,0.442,0.995,2.239,3.763,5.179,13.489,4.351,5.271565049025745,2.894020952711698,5.4096017159843,2.9375,2.8,3.2
雁,yan4,12,101017,259717,-0.4399363519934356,34644,51076,85425,100488,63585,25253,107.925,249.151,408.732,485.449,378.482,280.589,318.388,3.4956814051408207,15.241843684281607,4.789364673588531,3.75,3.4,3.2
焰,yan4,12,37260,20299,0.2946715544050453,8332,9264,10016,12486,10404,7082,25.956,45.19,47.923,60.319,61.929,78.689,53.334,4.264928321581747,27.268108532216885,4.548703249929396,2.8125,3.1,3.1
焱,yan4,12,183978,92426,0.3312253078826645,35250,24111,37481,54371,67734,57600,109.813,117.615,179.335,262.662,403.179,640,285.434,3.542975432118442,0.38586946036155967,5.858277675434597,3.5625,3.4,3.5
滟,yan4,13,631,11097,-0.892394270122783,74,279,1334,2442,3099,4514,0.231,1.361,6.383,11.797,18.446,50.156,14.729,4.803298887566615,0.5144926138154129,5.819732840381327,3.5,3.5,3.2
燕,yan4,16,658249,9408487,-0.8692229536962129,476601,984990,2420961,3843653,1871625,468992,1484.738,4804.829,11583.545,18568.372,11140.625,5211.022,8798.855,2.05552448389741,53.24998552989524,4.265600373318834,3.8125,3.9,3.2
央,yang1,5,12388,23386,-0.30742997707832503,9779,4957,6872,7107,5362,1743,30.464,24.18,32.88,34.333,31.917,19.367,28.857,4.524953831872202,176.4066549619597,3.751030092739658,3.25,3.7,3.3
泱,yang1,8,2072,2515,-0.09657728362764334,137,155,467,1260,1524,1043,0.427,0.756,2.234,6.087,9.071,11.589,5.027,5.219898808532088,0.5144926138154129,5.819732840381327,2.8125,3.2,3.3
鸯,yang1,10,342,9138,-0.9278481012658227,2263,1063,1293,2836,1764,261,7.05,5.185,6.187,13.7,10.5,2.9,7.587,5.066158537101279,3.0226441061655507,5.39548838889668,3.125,3.5,3.2
秧,yang1,10,726,5138,-0.752387448840382,2226,757,655,1039,1025,161,6.935,3.693,3.134,5.019,6.101,1.789,4.445,5.264002115908206,24.759957039866748,4.589054865588793,2.625,3.3,2.8
扬,yang2,6,630865,184888,0.5467059269166035,97766,59132,75783,149212,215036,218839,304.567,288.449,362.598,720.831,1279.976,2431.544,897.994,3.0462432067935645,144.7653592123118,3.8363456727973406,3.875,3.5,3.2
羊,yang2,6,35373,9065,0.5920158422971331,12562,6530,4624,6288,11195,3208,39.134,31.854,22.124,30.377,66.637,35.644,37.628,4.413097777266762,98.26808923874387,4.003190337554918,2.5,3.2,2.5
阳,yang2,6,3044027,987066,0.5102737644604082,362737,333075,472508,825149,1215605,822890,1130.022,1624.756,2260.804,3986.227,7235.744,9143.222,4230.129,2.373543733559247,347.7970069392191,3.4574272504463464,4.375,4.1,3.7
玚,yang2,7,515,751,-0.18641390205371247,3,13,41,286,453,469,0.009,0.063,0.196,1.382,2.696,5.211,1.593,5.586197483230649,0,6,3.3125,3.4,3.4
杨,yang2,7,863324,433274,0.3316756620016381,134267,80663,121964,323136,419756,216822,418.277,393.478,583.56,1561.043,2498.548,2409.133,1310.673,2.882174421055015,170.94017094017093,3.764622645828913,3.5625,3.1,3
旸,yang2,7,19716,13269,0.1954524783992724,277,726,3188,8501,9843,10456,0.863,3.541,15.254,41.068,58.589,116.178,39.249,4.395244905355168,0,6,3.5,3.6,3.2
炀,yang2,7,21219,5769,0.5724766562916852,512,295,721,3027,10617,11810,1.595,1.439,3.45,14.623,63.196,131.222,35.921,4.43272654468295,0.9003620741769726,5.721163645449222,3,3.5,3.3
洋,yang2,9,2183245,633664,0.5500997724811132,122279,115102,217671,726618,987883,647920,380.931,561.473,1041.488,3510.232,5880.256,7199.111,3095.582,2.50911741503242,295.8332529438624,3.5274874485376095,3.8125,3.4,3.3
仰,yang3,6,34406,6009,0.7026351602127923,13773,6854,5841,5654,5160,3041,42.907,33.434,27.947,27.314,30.714,33.789,32.684,4.472576341317936,74.40849427305409,4.122579730945403,3,3,3
养,yang3,9,93984,12853,0.7593904733378886,47060,25650,16323,11331,5220,1269,146.604,125.122,78.1,54.739,31.071,14.1,74.956,4.119437914178155,481.37215180104573,3.316617772734081,2.5625,3,2.6
样,yang4,10,11734,15887,-0.15035661272220413,10472,4551,4059,3845,3468,1214,32.623,22.2,19.421,18.575,20.643,13.489,21.159,4.654449842512257,1968.3844288810428,2.7056695001921987,2.75,2.8,2.6
烊,yang4,10,2335,837,0.47225725094577553,50,27,47,304,1233,1527,0.156,0.132,0.225,1.469,7.339,16.967,4.381,5.269137007953506,0,6,2.5,2.9,3
漾,yang4,14,2559,3405,-0.14185110663983905,160,158,480,2024,1955,1187,0.498,0.771,2.297,9.778,11.637,13.189,6.362,5.133004186889353,6.173911365784955,5.144243993367927,3.875,3.7,3.3
尧,yao2,6,610873,97872,0.7238160410302719,252381,85644,63254,84237,134430,88774,786.234,417.776,302.651,406.942,800.179,986.378,616.693,3.2092273202724715,10.096917546127479,4.954797640908701,4.0625,3.9,3.9
侥,yao2,8,359,291,0.10461538461538461,36,19,46,140,279,130,0.112,0.093,0.22,0.676,1.661,1.444,0.701,5.769295686387431,3.4085135665271107,5.355707818394719,2.6875,2.8,2.8
垚,yao2,9,78722,41141,0.31353295011805143,1049,1025,3260,16751,40139,57641,3.268,5,15.598,80.923,238.923,640.456,164.028,3.782442363581054,0,6,3.5625,3.2,3.4
姚,yao2,9,19110,32241,-0.25571069696792664,3616,2439,3303,9344,20966,11748,11.265,11.898,15.804,45.14,124.798,130.533,56.573,4.239781139843113,22.251805547516607,4.633543317661015,3.1875,3.3,2.8
谣,yao2,12,2657,9847,-0.5750159948816379,116,89,191,1047,5708,5362,0.361,0.434,0.914,5.058,33.976,59.578,16.72,4.751536282448968,13.698365842835369,4.832730947217134,2.125,2.5,2.6
摇,yao2,13,4399,5278,-0.09083393613723262,375,194,297,1857,5511,1443,1.168,0.946,1.421,8.971,32.804,16.033,10.224,4.949852341979697,161.6793038914935,3.7886676946196136,2.4375,2.5,2.7
遥,yao2,13,51759,49593,0.021371063225195358,1628,1411,3270,16238,48201,30550,5.072,6.883,15.646,78.444,286.911,339.444,122.067,3.909858386055133,37.62227238525207,4.413162177595906,3.375,3.2,3.2
瑶,yao2,14,151620,1075128,-0.7528098680413581,51817,29164,41801,162885,513325,428140,161.424,142.263,200.005,786.884,3055.506,4757.111,1517.199,2.8186712989691682,24.374087579505186,4.595609565485055,4,3.7,3.1
窈,yao3,10,60,5156,-0.9769938650306749,249,88,139,669,1897,2174,0.776,0.429,0.665,3.232,11.292,24.156,6.758,5.110250224735962,1.2862315345385322,5.640879789216087,3.3125,3.8,3
药,yao4,9,1005,2164,-0.3657305143578416,1211,553,440,441,381,141,3.773,2.698,2.105,2.13,2.268,1.567,2.424,5.465466243994884,240.52529695870555,3.6170373752470044,2,2.5,2.5
要,yao4,9,70478,19529,0.5660559734242893,20623,17199,21436,19095,9578,2180,64.246,83.898,102.565,92.246,57.012,24.222,70.698,4.144492958712649,4838.1599171666885,2.3152300257534377,2.375,2.7,2.7
钥,yao4,9,1639,6702,-0.6070015585661191,150,99,252,791,3091,3960,0.467,0.483,1.206,3.821,18.399,44,11.396,4.906718432432754,11.125902773758304,4.916285918287226,2.5,2.3,2.7
曜,yao4,18,19479,2743,0.7531275312753127,701,622,1339,3310,6480,9761,2.184,3.034,6.407,15.99,38.571,108.456,29.107,4.521332517431651,0.5144926138154129,5.819732840381327,3.75,3.8,3.5
耀,yao4,20,1782057,268631,0.7380089023781287,643058,340746,293451,292194,282251,198539,2003.296,1662.176,1404.072,1411.565,1680.065,2205.989,1727.861,2.7622399224922214,53.442920260076015,4.264058587751909,4.1875,3.9,3.7
椰,ye1,12,625,2702,-0.6242861436729786,96,129,225,579,1670,632,0.299,0.629,1.077,2.797,9.94,7.022,3.627,5.334700500500103,5.080614561427202,5.216052524814685,2.9375,3,2.4
也,ye3,3,16778,19160,-0.0662808169625466,2770,1523,2097,5832,17497,6232,8.629,7.429,10.033,28.174,104.149,69.244,37.943,4.409570595361951,3743.1267002373097,2.426649463277178,2.8125,3.2,2.8
冶,ye3,7,17884,5154,0.5525653268512892,2497,2203,2867,6685,5323,2144,7.779,10.746,13.718,32.295,31.685,23.822,20.008,4.677615291254596,33.24908516782106,4.465351024518224,2.875,2.9,3.3
野,ye3,11,143761,28209,0.6719311507821132,6598,8859,18242,57927,62623,17844,20.555,43.215,87.282,279.841,372.756,198.267,166.986,3.7747269109890134,182.13038529065616,3.7372395908745024,2.625,2.6,3.2
业,ye4,5,1231967,283053,0.6263376061042099,529790,268151,236226,209779,172489,98115,1650.436,1308.054,1130.268,1013.425,1026.72,1090.167,1203.178,2.9193093114968165,1952.0492883924035,2.709286796442439,3.25,3.3,3.4
叶,ye4,5,268901,1254444,-0.6469598154062277,410729,288990,271219,278065,197258,77556,1279.53,1409.707,1297.699,1343.309,1174.155,861.733,1227.689,2.9105580297872753,270.1729338298187,3.5667536602141294,3.375,3.2,3.1
页,ye4,6,862,1883,-0.37194899817850635,787,228,237,504,612,377,2.452,1.112,1.134,2.435,3.643,4.189,2.494,5.4566770993530875,38.52263445942904,4.403154114361236,2.875,3,2.8
邺,ye4,7,892,286,0.5144312393887945,81,64,74,219,288,453,0.252,0.312,0.354,1.058,1.714,5.033,1.454,5.610125441609014,0.7717389207231193,5.751600274346808,3.3125,3.1,2.9
夜,ye4,8,3206,4863,-0.20535382327425952,647,431,569,1800,3203,1421,2.016,2.102,2.722,8.696,19.065,15.789,8.398,5.0269645593130665,313.00444392995183,3.5030642055554506,2.625,2.8,2.9
晔,ye4,10,62108,79370,-0.1220119029106999,5468,10263,24816,38118,34319,28544,17.034,50.063,118.737,184.145,204.28,317.156,148.569,3.8251584099745086,2.894020952711698,5.4096017159843,3.75,3.7,3.3
烨,ye4,10,215848,187222,0.07101992209789863,3322,7131,19432,69309,115237,188662,10.349,34.785,92.976,334.826,685.935,2096.244,542.519,3.264785269515263,0,6,4.1875,4,3.4
液,ye4,11,283,294,-0.019064124783362217,12,15,49,175,225,101,0.037,0.073,0.234,0.845,1.339,1.122,0.608,5.793713955587568,245.9917809804943,3.6073174982958287,2.125,2.8,2.6
一,yi1,1,1350901,726812,0.30037305441126855,333751,169733,163834,282858,507749,619624,1039.723,827.966,783.895,1366.464,3022.315,6884.711,2320.846,2.6341665888903685,14061.726251342505,1.8519304772436462,3.5,2.8,3
伊,yi1,6,53683,217330,-0.6038345024039438,9495,6918,9599,30028,83594,131291,29.579,33.746,45.928,145.063,497.583,1458.789,368.448,3.432446680144097,78.26718887666969,4.100906543307776,3.8125,3.4,2.7
衣,yi1,6,2595,5798,-0.3816275467651614,2230,806,899,1146,2019,1320,6.947,3.932,4.301,5.536,12.018,14.667,7.9,5.050609993355087,278.27619249741144,3.553966085092746,3,3,2.7
医,yi1,7,2575,1748,0.19130233634050428,252,484,810,1041,1074,660,0.785,2.361,3.876,5.029,6.393,7.333,4.296,5.276052023568356,264.57782665457614,3.575808187449919,2.625,3,2.6
依,yi1,8,103779,423734,-0.6065348152557378,70846,30033,30314,44796,138951,212572,220.704,146.502,145.043,216.406,827.089,2361.911,652.943,3.1844601046792413,338.0216472767263,3.4697725702550963,3.5625,3.6,2.9
祎,yi1,8,49232,81956,-0.24944354666585358,711,1765,6322,20193,40778,61451,2.215,8.61,30.249,97.551,242.726,682.789,177.357,3.748709841180039,0,6,4,3.5,3.6
铱,yi1,11,855,3894,-0.6399241945672773,31,50,100,418,1294,2884,0.097,0.244,0.478,2.019,7.702,32.044,7.097,5.091675860723821,0.9646736509038991,5.706709579325387,2.4375,2.6,2.7
揖,yi1,12,8,2,0.6,6,0,1,1,1,1,0.019,0,0.005,0.005,0.006,0.011,0.008,5.996539467890494,2.186593608715505,5.496673319251752,2.5,2.5,2.8
壹,yi1,12,18994,7582,0.4294099939795304,2578,1380,2019,4099,7035,9459,8.031,6.732,9.66,19.802,41.875,105.1,31.867,4.4832399351914365,0.836050497450046,5.736115378438525,3.125,2.8,3.1
漪,yi1,14,2805,29340,-0.8254783014465702,2468,1687,2774,6244,8954,10013,7.688,8.229,13.273,30.164,53.298,111.256,37.318,4.416597166911639,3.0869556828924773,5.388600071556721,3.4375,3.4,3
仪,yi2,5,131824,498856,-0.5819623263778778,102883,41702,49843,84077,168088,183886,320.508,203.424,238.483,406.169,1000.524,2043.178,702.048,3.1530150228841745,100.776240731094,3.992353594530649,3.8125,3.7,3.2
夷,yi2,6,2808,5002,-0.280921895006402,650,362,714,1689,2116,2275,2.025,1.766,3.416,8.159,12.595,25.278,8.873,5.005550862985964,17.749995176631742,4.726998839656928,2.5625,3.1,2.9
沂,yi2,7,16817,16705,0.0033410894338046656,5508,2504,3093,4706,6586,11201,17.159,12.215,14.799,22.734,39.202,124.456,38.428,4.404195252117575,2.701086222530918,5.431670797225015,3.1875,3.1,2.7
诒,yi2,7,904,482,0.30447330447330445,383,106,119,195,213,370,1.193,0.517,0.569,0.942,1.268,4.111,1.433,5.613857891069181,0.32155788363463306,5.87891381021477,3.125,3.2,2.9
怡,yi2,8,195661,1934409,-0.816286788697085,60647,36339,63752,162423,562031,1245378,188.931,177.263,305.033,784.652,3345.423,13837.533,3106.473,2.5075926361382734,7.653077630504266,5.06282940002374,3.9375,3.7,3
宜,yi2,8,412563,361864,0.06546646746562297,249565,124742,110616,93869,98926,96546,777.461,608.498,529.263,453.473,588.845,1072.733,671.712,3.172170825197679,119.94109059571814,3.9174261194280526,4,4.1,3.8
贻,yi2,9,95395,38002,0.4302420594166286,46620,25060,22068,16666,12391,10613,145.234,122.244,105.589,80.512,73.756,117.922,107.543,3.9643981792054053,6.817027133054221,5.106958380595617,2.8125,2.8,2.8
移,yi2,11,8834,2750,0.525207182320442,2973,2806,2397,1457,1237,719,9.262,13.688,11.469,7.039,7.363,7.989,9.468,4.980136286032157,233.7082698256513,3.629471607988229,2.5,2.8,2.6
遗,yi2,12,211,96,0.3745928338762215,76,33,41,70,76,11,0.237,0.161,0.196,0.338,0.452,0.122,0.251,5.90274269030658,159.29977555259723,3.795067085732797,2.125,2.6,2.8
颐,yi2,13,7166,14997,-0.3533366421513333,3002,1083,1873,2595,4025,9609,9.352,5.283,8.962,12.536,23.958,106.767,27.81,4.540456741719587,4.6304335243387165,5.249458164654953,3.625,4,3.5
彝,yi2,18,348,152,0.392,152,29,58,67,105,89,0.474,0.141,0.278,0.324,0.625,0.989,0.472,5.83209218999852,5.723730328696468,5.172389713303305,3,2.8,2.7
乙,yi3,1,53684,49989,0.03564090939781814,25039,12559,11018,14581,19859,20569,78.003,61.263,52.718,70.44,118.208,228.544,101.529,3.989153278426329,77.81700783958121,4.103380056446118,2.9375,2.8,2.8
已,yi3,3,5918,4244,0.1647313520960441,4028,1436,1074,1106,1280,1239,12.548,7.005,5.139,5.343,7.619,13.767,8.57,5.019088062223156,1228.479738637752,2.910278623875508,2.4375,2.8,2.8
以,yi3,4,357988,169473,0.3574008315306724,219590,107814,84089,50596,33451,31889,684.081,525.922,402.34,244.425,199.113,354.322,401.701,3.3950172919372847,4694.616477912189,2.3283073820177527,3,3.1,2.7
钇,yi3,6,3102,2179,0.17477750426055672,31,47,183,793,1683,2544,0.097,0.229,0.876,3.831,10.018,28.267,7.22,5.0851281824599495,0,6,2.4375,2.6,2.6
苡,yi3,7,1205,4636,-0.5873994179078925,100,108,250,725,1626,3036,0.312,0.527,1.196,3.502,9.679,33.733,8.158,5.0381993608083215,0.6431157672692661,5.784331836860114,2.6875,2.6,2.7
蚁,yi3,9,33,34,-0.014925373134328358,21,4,11,9,10,12,0.065,0.02,0.053,0.043,0.06,0.133,0.062,5.97387548325455,34.278070395451884,4.452495177495025,1.8125,2.1,2.1
倚,yi3,10,6730,11093,-0.2447960500476912,1047,606,1091,2045,5976,7070,3.262,2.956,5.22,9.879,35.571,78.556,22.574,4.62756672080455,11.833330117754498,4.891660634029992,3,3,3.1
旖,yi3,14,839,30523,-0.9464957591990307,44,145,967,5273,13093,11831,0.137,0.707,4.627,25.473,77.935,131.456,40.056,4.386623365305166,0.6431157672692661,5.784331836860114,3.375,3.5,3.3
弋,yi4,3,10196,7543,0.14955747223631546,389,858,2039,3281,4924,6245,1.212,4.185,9.756,15.85,29.31,69.389,21.617,4.645565001968099,2.186593608715505,5.496673319251752,3.0625,2.9,3.5
