character,pinyin,bihua,n.male,n.female,name.gender,n.1930_1959,n.1960_1969,n.1970_1979,n.1980_1989,n.1990_1999,n.2000_2008,ppm.1930_1959,ppm.1960_1969,ppm.1970_1979,ppm.1980_1989,ppm.1990_1999,ppm.2000_2008,name.ppm,name.uniqueness,corpus.ppm,corpus.uniqueness,name.valence,name.warmth,name.competence
十,shi2,2,25139,16577,0.2052449899319206,17114,7855,6241,4318,4603,1512,53.315,38.317,29.861,20.86,27.399,16.8,31.092,4.493603216469543,1888.7023853163807,2.723606588732821,2.875,2.9,2.5
石,shi2,5,625900,245100,0.4371986222732491,317918,161656,128478,139086,91285,31070,990.399,788.566,614.727,671.913,543.363,345.222,659.032,3.1804350082664272,561.2471300958886,3.2500727526761457,3.3125,3,2.8
时,shi2,7,338406,162187,0.3520205036826324,214955,96264,77185,52772,38524,20964,669.642,469.58,369.306,254.937,229.31,232.933,370.951,3.4295142693419467,4313.570385805149,2.365062441747838,3.3125,3.7,3.3
识,shi2,7,5288,1380,0.5860827834433113,1024,545,765,1736,1527,1077,3.19,2.659,3.66,8.386,9.089,11.967,6.492,5.125402231296801,803.1229701658596,3.0946775318724757,3.25,3.2,3.5
实,shi2,8,88878,28003,0.5208288772341099,33262,16620,15429,22518,19075,10054,103.62,81.073,73.823,108.783,113.542,111.711,98.759,4.001047912944295,2272.192317339044,2.6433638204008854,3.5625,3.7,3.6
拾,shi2,9,6534,6365,0.013101790836498954,6262,2649,1814,1192,790,206,19.508,12.922,8.679,5.758,4.702,2.289,8.976,5.0010435595295135,41.60959014232152,4.370492643217623,2.8125,3.1,3.1
史,shi3,5,3992,1432,0.471976401179941,1421,817,776,1050,945,415,4.427,3.985,3.713,5.072,5.625,4.611,4.572,5.253988892248074,567.2924183082197,3.2454281379177328,3.3125,3.4,3.2
始,shi3,8,2459,395,0.7231955150665732,1110,476,410,399,300,158,3.458,2.322,1.962,1.928,1.786,1.756,2.202,5.494578672416719,538.6737666647373,3.267868692310266,3.375,3.5,3.1
士,shi4,3,1767120,772467,0.3916593524852663,1124337,541159,388379,256510,150587,78460,3502.607,2639.8,1858.273,1239.179,896.351,871.778,1834.665,2.7362065725498734,415.90296669303444,3.3799650144111695,3.5,3.3,3
示,shi4,5,275,192,0.1777301927194861,147,51,57,66,83,23,0.458,0.249,0.273,0.319,0.494,0.256,0.342,5.872247484167027,453.9111085386481,3.3420734579422304,3.1875,3.1,3.3
世,shi4,5,5020341,1952886,0.43989031190293965,2586407,1327088,1131028,805418,688186,435282,8057.343,6473.6,5411.617,3890.908,4096.345,4836.467,5461.047,2.2626445671488984,907.3720360402076,3.0417362438714592,3.5625,3.6,3.5
仕,shi4,5,1408323,717367,0.3250502189877169,783532,429730,390154,244826,182404,90684,2440.91,2096.244,1866.766,1182.734,1085.738,1007.6,1613.332,2.7920071443719965,4.115940910523303,5.291074480296173,3.6875,3.3,3.3
市,shi4,5,6670,1415,0.6499690785405071,1155,600,1084,2618,2098,530,3.598,2.927,5.187,12.647,12.488,5.889,7.123,5.090283546765655,763.6356620555266,3.116545450663378,2.875,3.1,2.8
式,shi4,6,5330,755,0.751848808545604,2752,1214,819,623,433,239,8.573,5.922,3.919,3.01,2.577,2.656,4.443,5.264161665682926,913.0314547921771,3.039038858524795,2.625,3,2.6
事,shi4,8,6503,532,0.8487562189054726,775,504,572,1069,2493,1621,2.414,2.459,2.737,5.164,14.839,18.011,7.604,5.065299598284575,1958.4161344883694,2.707873320146263,2.5,2.7,2.4
侍,shi4,8,131,88,0.1963470319634703,16,23,23,37,69,51,0.05,0.112,0.11,0.179,0.411,0.567,0.238,5.907279355315901,18.907603557716424,4.700981016431655,2.375,3.1,2.7
适,shi4,9,9256,2508,0.5736144168650119,1740,874,1387,2888,3220,1646,5.421,4.263,6.636,13.952,19.167,18.289,11.288,4.910518797312563,422.91292855626943,3.372723338055451,3.5,3.5,3.2
轼,shi4,10,1404,133,0.8269355888093689,224,150,259,391,300,213,0.698,0.732,1.239,1.889,1.786,2.367,1.452,5.610479534153622,1.993658878534725,5.523797688164724,3.3125,3.2,3.5
释,shi4,12,2086,1718,0.09674027339642481,118,114,185,520,1119,1746,0.368,0.556,0.885,2.512,6.661,19.4,5.064,5.217240807376003,172.48364878161718,3.760741452161635,3.3125,3.4,3.6
奭,shi4,15,313,72,0.625974025974026,35,77,83,91,55,44,0.109,0.376,0.397,0.44,0.327,0.489,0.356,5.867740310468956,0.38586946036155967,5.858277675434597,3,2.5,2.9
守,shou3,6,1532834,645566,0.40730260741828866,1054715,485975,339018,176740,84234,33403,3285.717,2370.61,1622.096,853.816,501.393,371.144,1500.796,2.8233890567402153,184.3169788993717,3.732084788428017,3.25,3.1,2.8
首,shou3,9,40233,7200,0.6964138890645752,8562,6638,7994,9203,8967,6062,26.673,32.38,38.249,44.459,53.375,67.356,43.749,4.349216665361129,378.3450058845093,3.420965629093196,3.3125,3.3,3.1
寿,shou4,7,1068293,219235,0.6594481828744695,700301,261476,171768,93700,44641,13507,2181.623,1275.493,821.856,452.657,265.72,150.078,857.905,3.0660548690644336,57.43023801714547,4.233362344575881,3.625,3.7,3.1
受,shou4,8,4697,1528,0.5090763052208835,3377,1196,805,498,241,99,10.52,5.834,3.852,2.406,1.435,1.1,4.191,5.284748971121151,874.4445087560212,3.057771377056068,2.1875,2.7,2.8
绶,shou4,11,20,10,0.3333333333333333,19,1,0,3,3,4,0.059,0.005,0,0.014,0.018,0.044,0.023,5.99012436628784,0.9003620741769726,5.721163645449222,2.75,3.2,3
书,shu1,4,2289071,2376852,-0.018813212305475252,2031330,1046061,746854,405214,260852,178682,6328.131,5102.737,3573.464,1957.556,1552.69,1985.356,3416.656,2.4662716527973254,638.4210221682005,3.1942130895820573,3.6875,3.4,3.1
抒,shu1,7,2714,7035,-0.4432249461483229,293,461,796,1783,2866,3554,0.913,2.249,3.809,8.614,17.06,39.489,12.022,4.885322308989122,24.69564546313982,4.590140468558333,3.25,3.2,3
纾,shu1,7,264,1643,-0.7231253277399056,67,72,134,322,466,846,0.209,0.351,0.641,1.556,2.774,9.4,2.489,5.457299030551889,0.5788041905423396,5.801671729548501,3.6875,3.4,3.2
枢,shu1,8,18774,2409,0.7725534626823396,10046,2886,2466,2383,2123,1294,31.296,14.078,11.799,11.512,12.637,14.378,15.95,4.770830297460899,23.73097181223592,4.606758817548972,3.3125,3.4,3.3
叔,shu1,8,11369,58991,-0.6768334280841387,41292,13374,8875,4293,1935,612,128.636,65.239,42.464,20.739,11.518,6.8,45.899,4.328836417393914,119.55522113535658,3.9188139759860543,2.875,3.1,2.8
姝,shu1,9,1304,215606,-0.9879765801484487,7219,9736,21661,42969,61135,73970,22.489,47.493,103.641,207.58,363.899,821.889,261.165,3.581425288700359,0,6,3.5625,3.6,3
殊,shu1,10,2787,4946,-0.27919306866675286,490,447,802,1265,2241,2489,1.526,2.18,3.837,6.111,13.339,27.656,9.108,4.995334766752123,138.462824693073,3.8555415428010327,3,3.2,3.1
淑,shu1,11,218984,11393410,-0.9622844350613663,6312851,2557069,1489347,639935,399377,208090,19666.202,12473.507,7126.062,3091.473,2377.244,2312.111,7841.1,2.1055676240134593,22.894921314785872,4.621694395258716,4,3.8,3.1
舒,shu1,12,106933,388430,-0.5682640810880102,15198,14382,22415,74075,180255,189105,47.346,70.156,107.249,357.85,1072.946,2101.167,626.119,3.2026500410837566,65.08331564764973,4.179908174958961,3.9375,3.8,3.4
疏,shu1,12,703,1356,-0.3171442447790189,73,88,109,258,746,780,0.227,0.429,0.522,1.246,4.44,8.667,2.589,5.44502654166676,59.10233901204556,4.221108626162688,2.5625,3,2.8
属,shu3,12,415,453,-0.04377880184331797,425,146,119,101,63,14,1.324,0.712,0.569,0.488,0.375,0.156,0.604,5.794795636051855,406.1276070305415,3.3902694474252817,2.6875,2.9,3
署,shu3,13,4625,676,0.7449537823052255,539,782,1503,1673,714,119,1.679,3.815,7.191,8.082,4.25,1.322,4.39,5.268411234813262,35.17843246962885,4.441550254074832,2.5625,3,3.3
蜀,shu3,13,7002,6380,0.04648034673441937,3558,2314,2427,2128,2147,805,11.084,11.288,11.612,10.28,12.78,8.944,10.998,4.920891142398564,9.51811335558514,4.978062153028186,2.9375,3.1,3.1
曙,shu3,17,93528,21232,0.6299756012547926,17860,24236,32761,24051,11566,4165,55.639,118.224,156.751,116.188,68.845,46.278,93.654,4.023861028385644,5.273549291607982,5.202486685383042,3.9375,3.9,3.7
术,shu4,5,163158,343195,-0.35555630163147056,255444,121384,83578,29731,12993,3392,795.776,592.117,399.895,143.628,77.339,37.689,341.074,3.465879933957705,983.7098776150696,3.0066917056550113,3.125,2.9,3.4
述,shu4,8,230551,202608,0.06450979894218982,215547,94647,69836,30448,14883,5951,671.486,461.693,334.144,147.092,88.589,66.122,294.854,3.528922554606729,308.3740104056131,3.5095161728975284,3.0625,3.2,3
树,shu4,9,3643426,1597134,0.39047201062481873,2347004,1219433,869461,459289,247001,97683,7311.539,5948.454,4160.1,2218.787,1470.244,1085.367,3699.082,2.431788651134924,405.09862180291077,3.3913684843942438,3.375,3.6,3
